epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,13423.3,0.60396,0.33682,0.79666,0.95201,0.8451,0.91,0.76151,0.6952,0.3306,0.79902,4.25854e-05,4.25854e-05,4.25854e-05
116,13539.6,0.60252,0.33649,0.79494,0.95301,0.84313,0.90939,0.75346,0.72803,0.33899,0.80023,4.24765e-05,4.24765e-05,4.24765e-05
117,13656.1,0.60291,0.338,0.79645,0.94581,0.85048,0.91209,0.76495,0.69092,0.33023,0.79834,4.23676e-05,4.23676e-05,4.23676e-05
118,13772.5,0.59891,0.33531,0.7958,0.95617,0.84687,0.91185,0.76021,0.70339,0.33297,0.799,4.22587e-05,4.22587e-05,4.22587e-05
119,13889.2,0.60211,0.33601,0.7954,0.95364,0.8461,0.9102,0.76214,0.6967,0.33033,0.79881,4.21498e-05,4.21498e-05,4.21498e-05
120,14005.5,0.59768,0.33456,0.79595,0.95413,0.84116,0.908,0.75845,0.70616,0.33288,0.79894,4.20409e-05,4.20409e-05,4.20409e-05
121,14122.1,0.60118,0.33572,0.79602,0.95158,0.84782,0.91245,0.75882,0.71878,0.33535,0.79946,4.1932e-05,4.1932e-05,4.1932e-05
122,14238.3,0.59413,0.3324,0.79584,0.9577,0.84119,0.91099,0.76037,0.711,0.33367,0.79903,4.18231e-05,4.18231e-05,4.18231e-05
123,14354.7,0.59301,0.33192,0.79397,0.95495,0.84747,0.91132,0.76304,0.68688,0.32705,0.79811,4.17142e-05,4.17142e-05,4.17142e-05
124,14471,0.59193,0.33108,0.79569,0.96322,0.83952,0.9103,0.76404,0.6948,0.32824,0.79813,4.16053e-05,4.16053e-05,4.16053e-05
125,14587.3,0.58971,0.33052,0.79423,0.95631,0.84285,0.90911,0.75978,0.69778,0.32877,0.79821,4.14964e-05,4.14964e-05,4.14964e-05
126,14703.9,0.59023,0.33036,0.79448,0.95133,0.84755,0.91179,0.75713,0.71663,0.33343,0.7991,4.13875e-05,4.13875e-05,4.13875e-05
127,14820.5,0.59278,0.33177,0.79392,0.95606,0.84784,0.91372,0.76544,0.69123,0.32725,0.79809,4.12786e-05,4.12786e-05,4.12786e-05
128,14937.3,0.59393,0.33212,0.79457,0.95624,0.84527,0.91125,0.75905,0.71705,0.33431,0.79909,4.11697e-05,4.11697e-05,4.11697e-05
129,15053.7,0.59005,0.33015,0.79415,0.95678,0.84781,0.91177,0.762,0.70213,0.33045,0.79845,4.10608e-05,4.10608e-05,4.10608e-05
130,15170.1,0.58883,0.32955,0.79407,0.95729,0.84737,0.91308,0.76537,0.68221,0.32421,0.79732,4.09519e-05,4.09519e-05,4.09519e-05
131,15286.6,0.58608,0.32846,0.79414,0.95686,0.84965,0.91383,0.76744,0.68534,0.3248,0.7978,4.0843e-05,4.0843e-05,4.0843e-05
132,15403.2,0.59124,0.33123,0.79423,0.95306,0.84887,0.91119,0.76581,0.68676,0.32665,0.79748,4.07341e-05,4.07341e-05,4.07341e-05
133,15519.7,0.5891,0.33048,0.7947,0.95459,0.84726,0.91045,0.76131,0.68523,0.32668,0.79771,4.06252e-05,4.06252e-05,4.06252e-05
134,15636.3,0.59105,0.33017,0.79427,0.95528,0.84812,0.91133,0.76357,0.70139,0.32918,0.79819,4.05163e-05,4.05163e-05,4.05163e-05
135,15752.6,0.58254,0.32737,0.79413,0.95314,0.85176,0.91245,0.76504,0.693,0.32677,0.79753,4.04074e-05,4.04074e-05,4.04074e-05
136,15868.9,0.58603,0.32853,0.79429,0.9535,0.84689,0.91127,0.757,0.71767,0.33302,0.79867,4.02985e-05,4.02985e-05,4.02985e-05
